id,name,email,age,country,phone
6000,Marco Alvarez,marco.alvarez6000@example.com,28,France,+1-555-7924
6001,Fiona Kowalski,fiona.kowalski6001@example.com,27,Russia,+1-555-6514
6002,Bianca Nowak,bianca.nowak6002@example.com,42,Brazil,+1-555-6881
6003,Nadia Ferreira,nadia.ferreira6003@example.com,56,Nigeria,+1-555-1711
6004,Lucia Ivanov,lucia.ivanov6004@example.com,52,Brazil,+1-555-7201
6005,Bianca Suzuki,bianca.suzuki6005@example.com,36,Canada,+1-555-6925
6006,Julia Rossi,julia.rossi6006@example.com,63,Brazil,+1-555-1750
6007,Kwame Rossi,kwame.rossi6007@example.com,67,Nigeria,+1-555-2307
6008,Nadia Rossi,nadia.rossi6008@example.com,73,Brazil,+1-555-7227
6009,Elias Ivanov,elias.ivanov6009@example.com,58,Canada,+1-555-6977
6010,Carlos Ferreira,carlos.ferreira6010@example.com,40,Russia,+1-555-5374
6011,Lucia Baptiste,lucia.baptiste6011@example.com,61,India,+1-555-2169
6012,Julia Okoro,julia.okoro6012@example.com,28,Norway,+1-555-5010
6013,,carlos.ivanov6013@example.com,42,Nigeria,+1-555-4598
6014,Fiona Kimura,fiona.kimura6014@example.com,67,Kenya,+1-555-1916
6015,Dana Kimura,dana.kimura6015@example.com,20,Kenya,+1-555-6168
6016,Gustavo Kowalski,gustavo.kowalski6016@example.com,22,Russia,+1-555-6155
6017,Dana Okoro,dana.okoro6017@example.com,49,Italy,+1-555-8517
6018,Carlos Kowalski,carlos.kowalski6018@example.com,26,Russia,+1-555-9830
6019,Elias Petit,elias.petit6019@example.com,55,Italy,+1-555-7543
6020,Fiona Rossi,fiona.rossi6020@example.com,26,Norway,+1-555-9085
6021,Bianca Alvarez,bianca.alvarez6021@example.com,21,Canada,+1-555-2796
6022,Carlos Okoro,carlos.okoro6022@example.com,28,Kenya,+1-555-7916
6023,Julia Nowak,julia.nowak6023@example.com,42,Italy,+1-555-8668
6024,Ivan Kowalski,ivan.kowalski6024@example.com,53,Canada,+1-555-1188
6025,Kwame Petit,kwame.petit6025@example.com,25,India,+1-555-9797
6026,Marco Kowalski,marco.kowalski6026@example.com,67,India,+1-555-6573
6027,Bianca Kowalski,bianca.kowalski6027@example.com,45,China,+1-555-8433
6028,Alex Petit,alex.petit6028@example.com,74,France,+1-555-5315
6029,Ivan Alvarez,ivan.alvarez6029@example.com,29,Norway,+1-555-2743
6030,Nadia Okoro,nadia.okoro6030@example.com,37,Canada,+1-555-9317
6031,Julia Rossi,julia.rossi6031@example.com,27,Egypt,+1-555-3646
6032,Ivan Alvarez,ivan.alvarez6032@example.com,51,Germany,+1-555-1009
6033,Julia Ferreira,julia.ferreira6033@example.com,49,USA,+1-555-2832
6034,Omar Ferreira,omar.ferreira6034@example.com,74,Canada,+1-555-6038
6035,Dana Silva,dana.silva6035@example.com,33,Germany,+1-555-2290
6036,Bianca Petit,bianca.petit6036@example.com,49,Canada,+1-555-2133
6037,Marco Suzuki,marco.suzuki6037@example.com,67,China,+1-555-3103
6038,Kwame Ivanov,kwame.ivanov6038@example.com,53,China,+1-555-5342
6039,Ivan Kimura,ivan.kimura6039@example.com,56,Italy,+1-555-4470
6040,Omar Suzuki,omar.suzuki6040@example.com,66,France,+1-555-4295
6041,Lucia Kowalski,lucia.kowalski6041@example.com,43,India,+1-555-7118
6042,Helena Baptiste,helena.baptiste6042@example.com,51,Japan,+1-555-2982
6043,Dana Rossi,dana.rossi6043@example.com,22,Egypt,+1-555-1344
6044,Julia Suzuki,julia.suzuki6044@example.com,32,Mexico,+1-555-4608
6045,Alex Nowak,alex.nowak6045@example.com,63,India,+1-555-1964
6046,Dana Nowak,dana.nowak6046@example.com,75,USA,+1-555-6413
6047,Bianca Suzuki,bianca.suzuki6047@example.com,33,Nigeria,+1-555-8953
6048,Dana Suzuki,dana.suzuki6048@example.com,26,France,+1-555-8744
6049,Dana Alvarez,dana.alvarez6049@example.com,48,Kenya,+1-555-7669
6050,Dana Nowak,dana.nowak6050@example.com,24,India,+1-555-8062
6051,,fiona.haddad6051@example.com,44,Japan,+1-555-1887
6052,Kwame Okoro,kwame.okoro6052@example.com,24,USA,+1-555-7596
6053,Lucia Ferreira,lucia.ferreira6053@example.com,69,Canada,+1-555-2790
6054,Dana Rossi,dana.rossi6054example.com,30,Norway,+1-555-8350
6055,Gustavo Mensah,gustavo.mensah6055@example.com,35,Japan,+1-555-5092
